date,text
2021-09-28,"OPEC's World Oil Outlook 2021 launched in Vienna
No 28/2021
Vienna, Austria
28 Sep 2021
The 2021 OPEC World Oil Outlook (WOO) was launched today in Vienna, Austria. The 15th edition of the WOO presents an in-depth review of the OPEC Secretariat’s ongoing analysis of the impacts of the COVID-19 pandemic, and contains medium- and long-term projections for the global oil and energy industry.
This includes analysis of the industry’s various linkages and its shifting dynamics, providing insights into energy and oil demand, oil supply and refining, the global economy, policy and technology developments, demographic trends, environmental issues and sustainable development concerns.
In the foreword to the publication, His Excellency Mohammad Sanusi Barkindo, OPEC Secretary General said that the past year has been one of continuing uncertainty related to the pandemic, but noted the benefits of the Declaration of Cooperation (DoC) production adjustments in bringing down inventory levels, and the market being buoyed by the rollout of vaccines and further global fiscal stimulus.
He also personally thanked OPEC Secretariat staff for the hard work, drive and steadfastness of all those that have been involved in producing the WOO. “For the second year it has not been an easy task, given the restrictions on office-based working, but I salute each and every one of you for your dedication and commitment to delivering this flagship annual publication.”
It is important to reiterate that the Outlook is not about making predictions. The WOO should be viewed as a helpful and insightful reference tool, one that underscores the Organization’s commitment to knowledge sharing and data transparency. It also emphasizes OPEC’s continued focus on the enhancement of dialogue and cooperation, most recently through the historic DoC and the Charter of Cooperation between 23 OPEC and non-OPEC producers, as a means to help secure a sound and stable oil industry.

The WOO 2021 can also be accessed on two digital interfaces, the OPEC WOO App available for both Android and iOS, and a comprehensive interactive version, which can be accessed at woo.opec.org
Some specific highlights from this year’s WOO include:
The year 2020 saw the largest ever global drop in energy and oil demand, but 2021 has witnessed a significant rebound as vaccines were rolled out, lockdowns were eased, mobility increased, economies opened up further, and fiscal and infrastructure packages were implemented.
Total primary energy demand is set to expand by a robust 28% in the period to 2045.
All forms of energy will be needed to support the post-pandemic recovery in a sustainable way, balancing the needs of people in relation to their social welfare, the economy and the environment.
‘Other renewables’  – combining mainly solar, wind and geothermal energy – see the largest growth in both absolute and percentage terms, leading to a share over 10% by 2045. Gas witnesses the second largest increase in absolute terms.
Oil is expected to retain the largest share of the energy mix throughout the outlook period, accounting for just over a 28% share in 2045.
All major fuel types witness growth, with the exception of coal.
Global oil demand is forecast to reach 108.2 mb/d by 2045, from a low of 90.6 mb/d witnessed in 2020.
The non-OECD drives oil demand with growth of 25.5 mb/d by 2045 (compared to 2020), whereas the OECD region is expected to contract by 7.9 mb/d.
India is expected to be the largest contributor to incremental demand, adding 6.5 mb/d between 2020 and 2045.
Oil demand in road transportation will continue to dominate the sectoral breakdown, increasing by 6.3 mb/d over the forecast period, with the total vehicle fleet (passenger and commercial vehicles) set to expand by over 1.1 billion by 2045 to around 2.6 billion.
The long-term share of alternative fueled vehicles in the total fleet is projected to reach a level of around 24% in 2045, but conventional vehicles remain dominant.
Oil demand in the aviation sector was most affected by COVID-19 restrictions in relative terms, but it is projected to recover in the long term with an expected expansion of 5.8 mb/d out to 2045.
Non-OPEC liquids supply is expected to continue its recovery and grow by 7.5 mb/d from its 2020 low to 70.4 mb/d in 2026, driven by US tight oil, as well as barrels from Brazil, Russia, Guyana, Canada and Kazakhstan.
After US supply peaks at 20.5 mb/d around 2030, total non-OPEC liquids supply is also expected to decline, reaching 65.5 mb/d in 2045.
OPEC liquids, which recover to pre-pandemic levels by around mid-decade, rise strongly thereafter, reaching nearly 43 mb/d in 2045. In terms of market share, this implies an increase from 33% in 2020 to 39% by 2045.
Estimated refining capacity additions in the medium-term are a robust 6.9 mb/d, while another 7.1 mb/d of incremental capacity is required in the long-term, predominantly in developing countries.
Refinery capacity closures of 4.5 mb/d between 2020 and 2026, mostly in developed countries, will help to balance out the downstream market in the medium-term.
After the 2020 drop, global inter-regional crude and condensate trade is projected to recover and reach levels above 38 mb/d in 2025, and increase further to above 40 mb/d from 2035 onwards.
The Asia-Pacific region is the main outlet for crude and condensate imports, increasing from 23.5 mb/d in 2019 to almost 30 mb/d in 2045. The Middle East remains the largest supplier to this region, increasing exports by 4.8 mb/d over this period.  
Cumulative oil-related investment requirements amount to $11.8 trillion in the 2021-2045 period. Of this, 80%, or $9.2 trillion is in the upstream, with another $1.5 and $1.1 trillion needed in the downstream and midstream, respectively. 
The pandemic has affected United Nations climate change and sustainable development processes, with implications for the implementation of the Paris Agreement and the 2030 Agenda.
Enhanced global cooperation could allow for a more coherent, balanced and integrated approach for realizing the Paris Agreement and interlinked Sustainable Development Goals.
Technological advancements are set to shape the global energy landscape and the world needs to look for cleaner and more efficient technological solutions everywhere, across all available energies.
Uncertainties related to the outlook for oil demand and supply are abundant, and will need to be closely monitored.
   "
2021-09-24,"OPEC to launch its Annual Statistical Bulletin 2021 on 30 September 2021
No 27/2021
Vienna, Austria
24 Sep 2021
OPEC will launch the 2021 edition of its Annual Statistical Bulletin (ASB) on Thursday, 30 September 2021, at 14:00 (CEST) via videoconference.
OPEC Secretary General, HE Mohammad Sanusi Barkindo, will present the publication’s major highlights, as well as the new additions and improvements integrated into this year’s version of the ASB. The launch will also feature a round table session with the Secretariat’s key analysts and researches involved in the ASB, in addition to showing a highlight video.
First published in 1965, the ASB, one of OPEC’s flagship publications, continues to provide a wide range of data on the global energy industry, as well as key economic indicators, serving as an important source of reliable data for policy-makers, analysts and researchers, academics and other industry stakeholders. It features data focused on production, supply and demand, imports and exports, and exploration and transportation activities, including important statistics covering OPEC’s 13 Member Countries.
The Secretary General stated: “I am very pleased to announce the launch event of the 56th edition of OPEC’s Annual Statistical Bulletin, which has become a key reference source for stakeholders across the industry. For over 61 years, OPEC has placed a high priority on providing accurate, timely and transparent data, and the ASB has been a key tool in helping us achieve this.”
“Despite the various restrictions and challenges brought on by the COVID-19 pandemic, the OPEC Secretariat team has prevailed in producing a publication that will be extremely effective in meeting the industry’s growing need for reliable information,” he added.
This year’s ASB will be available as an interactive version and a PDF on the OPEC website, as well as through a smart app compatible with iOS and Android platforms. Further details in this regard will be available following the launch.
Journalists and analysts interested in receiving an embargoed copy of the ASB 2021 are requested to write to webeditor@opec.org. The advance copies will be made available 48 hours prior to the launch (i.e. on Tuesday, 28 September 2021, at 14:00 (CEST)).
Additional details on the virtual launch will be provided in due course."
2021-09-23,"OPEC's World Oil Outlook to be launched on 28 September 2021
No 26/2021
Vienna, Austria
23 Sep 2021
The 2021 OPEC World Oil Outlook (WOO) will be launched via videoconference in Vienna, Austria, on Tuesday, 28 September 2021 at 14:30 (CEST).
OPEC’s Secretary General, HE Mohammad Sanusi Barkindo, will present the major findings of the WOO 2021, as well as introduce a video with key messages from the publication’s 15th edition. This will be followed by a panel discussion and a Q&A with management and analysts from OPEC’s Research Division.
The WOO was first published in 2007 and provides an in-depth review and analysis of the global oil and energy industries, offering a thorough assessment of various sensitivities in the medium- and long-term development of the oil industry. The publication provides insights into the upstream and downstream, supply and demand, investments, the potential impact of policies, and the environment and sustainable development. It also provides expert analysis of many of the challenges and opportunities facing the global oil industry. This year’s edition captures a long-term horizon out to 2045.
HE Barkindo said: “This year’s WOO 2021 has been put together under the restraints and restrictions caused by COVID-19. It is testament to the hard work of all those involved, and the value the Organization places on transparency and the enhancement of dialogue and cooperation. Teamwork and collaboration has never been more important, and we hope the flagship annual publication will help further understanding of global oil and energy markets among all stakeholders.”
The WOO 2021 will again be accompanied by a smart app to give increased access to the WOO’s vital analysis and energy data, as well as a comprehensive interactive version. More details on these will be provided when the publication is launched.
Media and analysts requiring a copy of the WOO prior to the scheduled press conference may request a 48-hour embargoed copy, which will be made available on Sunday, 26 September 2021 at 14:30 (CEST). To request an embargoed copy, please email: webeditor@opec.org.
Details on the logistics for the videoconference will be provided nearer the time."
2021-09-14,"OPEC turns 61
No 25/2021
Vienna, Austria
14 Sep 2021
OPEC takes pride in honouring and celebrating its rich and unique history and heritage, particularly on the Anniversary of its founding on 14 September 1960. The year 2021 marks the 61st Anniversary of that auspicious day and represents an opportunity to reflect on the Organization’s past and look to the future.
Between 10 and 14 of September 1960, representatives from five oil producing countries descended on Al-Shaab Hall in the Bab Al-Muaatham district in Baghdad: Fuad Rouhani of Iran; Dr. Tala’at al-Shaibani of Iraq; Ahmed Sayed Omar of Kuwait; Abdullah Al-Tariki of Saudi Arabia; and Dr. Juan Pablo Perez Alfonzo of Venezuela. As a result of the actions of these five founding fathers, OPEC came into existence. 
Looking back, it may appear that the Organization’s formation was inevitable. However, each of the Organization’s Founder Members arrived in Baghdad with different objectives, expectations and priorities. Yet, they recognized that common interests outweighed any differences they may have had; that working together will always yield greater results than going it alone and unity is a source of strength.
This spirit has infused every chapter of OPEC’s history. The founding of the Organization is a consequence of cooperation, dialogue and compromise; and this has been clearly apparent in our consensus approach and every success OPEC has enjoyed in the subsequent 61 years.
The spirit of Baghdad has most recently manifested in the collective efforts of OPEC’s Member Countries and 10 non-OPEC oil producing countries to respond to the severe oil demand contraction caused by the COVID-19 pandemic. Inspired by the founding vision that undergirds OPEC, the ‘Declaration of Cooperation’ process has been pivotal in the recovery in global oil markets over the past 18 months.
In reflecting on the Organization’s Anniversary, OPEC Secretary General, HE Mohammad Sanusi Barkindo said: “The world has changed in unimaginable ways since 1960. The challenges our Member Countries faced in 1960 are very different to those of today. However, throughout all the seismic events of the last sixty-one years, OPEC’s commitment to international cooperation, dialogue and taking responsible action in the interests of oil producers, consumers and the global economy has been unwavering. This ‘OPEC Day’, we take time to pause and give thanks for the tireless dedication of generations of Heads of State and Government, Ministers, Governors and other high-level experts from outside the Secretariat and, from within the Secretariat, Secretaries General, Management and Staff of every relevant discipline, all of whom have played a critical role in the Organization’s successes.”
Sixty one years on, OPEC remains focused on a balanced and stable oil market, promoting dialogue among all stakeholders in the energy industry, particularly through the ‘Declaration’ and ‘Charter of Cooperation’, and contributing to the search for options and solutions to some of the major challenges facing humankind, such as climate, sustainable development and energy poverty alleviation."
2021-09-01,"20th OPEC and non-OPEC Ministerial Meeting concludes
No 23/2021
Vienna, Austria
01 Sep 2021
The 20th OPEC and non-OPEC Ministerial Meeting (ONOMM), held via videoconference, concluded on Wednesday, 1 September 2021.
The Meeting noted that, while the effects of the COVID-19 pandemic continue to cast some uncertainty, market fundamentals have strengthened and OECD stocks continue to fall as the recovery accelerates.
The Meeting welcomed the positive performance of Participating Countries in the Declaration of Cooperation (DoC). Overall conformity to the production adjustments was 110% in July including Mexico (109% without Mexico), reinforcing the trend of high conformity by Participating Countries.
In view of current oil market fundamentals and the consensus on its outlook, the Meeting resolved to:
Reaffirm the decision of the 10th OPEC and non-OPEC Ministerial meeting on 12 April 2020 and further endorsed in subsequent meetings, including the 19th ONOMM on 18 July 2021.
  Reconfirm the production adjustment plan and the monthly production adjustment mechanism approved at the 19th ONOMM and the decision to adjust upward the monthly overall production by 0.4 mb/d for the month of October 2021.
  Extend the compensation period until the end of December 2021 as requested by some underperforming countries and request that underperforming countries submit their compensation plans by 17 September 2021. Compensation plans should be submitted in accordance with the statement of the 15th ONOMM.
  Reiterate the critical importance of adhering to full conformity and to the compensation mechanism, taking advantage of the extension of the compensation period until the end of December 2021.
Hold the 21st OPEC and non-OPEC Ministerial Meeting on 4 October 2021."
2021-07-30,"Call for nominations - OPEC Research and Journalism Awards 2022
No 22/2021
Vienna, Austria
30 Jul 2021
The Organization of the Petroleum Exporting Countries (OPEC) has opened a call for nominations for its two prestigious industry awards, namely, ‘The OPEC Award for Research’ and ‘The OPEC Award for Journalism.’ Both Awards will be presented on the occasion of the 8th OPEC International Seminar, scheduled to take place on 29 and 30 June 2022.
As in previous years, the two Awards are designed to honour distinguished individuals who have made outstanding contributions to the petroleum industry and oil-related issues, particularly in enhancing relations and cooperation between oil producers and consumers.
OPEC established the two Awards to acknowledge and celebrate the contributions and output of researchers and journalists working in the oil industry, and to encourage future research endeavours and objective reporting.
‘The OPEC Award for Research’ is given to researchers who have dedicated their careers to research and analysis of important oil-related issues, contributed to improving the understanding of the key determinants that support oil market stability, and have exhibited a consistently critical yet impartial view on oil-related issues in public debates and discourse.
The successful candidate will also have exhibited a high level of objectivity, integrity and innovative thinking throughout his or her career and furthered knowledge in the oil industry by encouraging and promoting young researchers from OPEC Member Countries and the developing world. The inaugural OPEC Award for Research was presented at the 2nd OPEC International Seminar, which took place in September 2004.
‘The OPEC Award for Journalism’, which is open to both print and broadcast journalists, is given to an experienced journalist or media organization that has delivered objective and balanced reporting/analysis of the oil market and related issues for more than ten years. In recognition of the evolving nature of oil market reporting, journalists who have utilized online platforms for objective and balanced reporting will also be considered. The OPEC Award for Journalism was first presented at the 4th OPEC International Seminar, which took place in March 2009.
The deadline for nominations for both the OPEC Award for Research and the OPEC Award for Journalism for 2022 is Sunday, 17 October 2021.
Additional information about the two Awards, as well as application forms and the procedure for submitting nominations, is available on the OPEC Website at: www.opec.org."
2021-07-18,"19th OPEC and non-OPEC Ministerial Meeting concludes
No 21/2021
Vienna, Austria
18 Jul 2021
The 19th OPEC and non-OPEC Ministerial Meeting (ONOMM), held via videoconference, concluded on Sunday 18 July 2021.
The Meeting noted the ongoing strengthening of market fundamentals, with oil demand showing clear signs of improvement and OECD stocks falling, as the economic recovery continued in most parts of the world with the help of accelerating vaccination programmes.
The Meeting welcomed the positive performance of Participating Countries in the Declaration of Cooperation (DoC). Overall conformity to the production adjustments was 113% in June (including Mexico), reinforcing the trend of high conformity by Participating Countries.
In view of current oil market fundamentals and the consensus on its outlook, the Meeting resolved to:
Reaffirm the Framework of the Declaration of Cooperation, signed on 10 December 2016 and further endorsed in subsequent meetings, including on 12 April 2020.
Extend the decision of the 10th OPEC and non-OPEC Ministerial Meeting (April 2020) until the 31st of December 2022.
Adjust upward their overall production by 0.4 mb/d on a monthly basis starting August 2021 until phasing out the 5.8 mb/d production adjustment, and in December 2021 assess market developments and Participating Countries’ performance.
Continue to adhere to the mechanism to hold monthly OPEC and non-OPEC Ministerial Meetings for the entire duration of the Declaration of Cooperation, to assess market conditions and decide on production level adjustments for the following month, endeavoring to end production adjustments by the end of September 2022, subject to market conditions.
Adjust, effective 1st of May 2022, the baseline for the calculations of the production adjustments according to the attached table (table 1).
Reiterate the critical importance of adhering to full conformity and taking advantage of the extension of the compensation period until the end of September 2021. Compensation plans should be submitted in accordance with the statement of the 15th OPEC and non-OPEC Ministerial Meeting.
The meeting decided to hold the 20th OPEC and non-OPEC Ministerial Meeting on 1 September 2021."
2021-07-17,"19th OPEC, non-OPEC Ministerial Meeting to convene on Sunday, 18 July
No 20/2021
Vienna, Austria
17 Jul 2021
The 19th OPEC and non-OPEC Ministerial Meeting of the Declaration of Cooperation (DoC) will hold on Sunday, 18 July 2021, at 12:00 (CEST) via videoconference."
2021-07-06,"OPEC participates in Nigeria Oil and Gas Conference and Exhibition 2021
No 19/2021
Abuja, Nigeria
06 Jul 2021
The Organization of the Petroleum Exporting Countries (OPEC) took part in the 20th edition of the Nigeria Oil and Gas Conference and Exhibition.
At the Opening Ceremony, OPEC Secretary General, HE Mohammad Sanusi Barkindo, delivered a keynote address on the theme: ‘Global oil market dynamics in a decarbonizing world’.
The Secretary General, in his recorded remarks as Honourary Conference Chairman, thanked the leadership of Nigeria for its unwavering commitment and continuous support of OPEC over its five-decades of Membership. He lauded Nigeria’s contributions to promoting sustainable stability in the global oil market and its influential role in the OPEC and non-OPEC Declaration of Cooperation (DoC).
“OPEC is deeply indebted to HE Muhammadu Buhari, President of Nigeria, for the leading role he has played and continues to play in support of the Declaration of Cooperation process. This historic achievement has ushered in a new era in global energy cooperation,” Barkindo stated.
He added: “Over the last five decades, OPEC and Nigeria have sown the seeds of friendship to build a highly fruitful and mutually beneficial relationship, forging strong ties that will last forever.” In underscoring Nigeria’s contribution to the Organization, he noted that over its 50 years of Membership, the country has provided OPEC with 23 Heads of Delegation, six of whom served as President of the Conference. Nigeria has also proffered the Organization with four Secretaries General.
Barkindo stressed the importance of the event, which he noted has risen in stature over the years to become a leading industry event. He also recalled the two industry pioneers whose visionary leadership were responsible for its founding – Dr. Rilwanu Lukman of Nigeria and Dr. Alirio Parra of Venezuela.
On the Conference’s theme, the Secretary General pointed out that all forms of energy will be required to meet current and future energy demands, and that recent calls for oil and gas industry divestment are irresponsible and unrealistic.
In this context, the Secretary General underlined the key role of innovation, technology and science in the energy industry, which has resulted in cutting-edge solutions such as carbon capture, utilization and storage (CCUS), as well as hydrogen. These will be viable options for reducing the global carbon footprint, he added.
On energy poverty, Barkindo underscored the need to ensure energy access for all around the world as part of a fair, inclusive and equitable energy transition.
The Secretary General stated OPEC’s intention to return to its birthplace in Baghdad, Iraq, in September of this year to celebrate the Organization’s Diamond Anniversary. This landmark occasion will celebrate OPEC’s six decades of supporting stability in the global oil market, in the interest of consumers, producers and the global economy.
The OPEC Secretariat takes part in this leading energy event on an annual basis. This year’s edition saw the Secretariat participating through hosting a booth, where the Organization’s history and achievements were presented, along with its flagship publications, the World Oil Outlook, the Annual Statistical Bulletin and the OPEC Bulletin.
Nigeria will mark its 50 years of Membership in OPEC on 12 July. For this special occasion, the OPEC Secretariat has produced a special issue of the OPEC Bulletin, which takes a retrospective look at Nigeria’s journey as an OPEC Member from 1971 until today. The Secretariat has also produced a documentary film to mark the occasion."
2021-07-05,"18th OPEC, non-OPEC Ministerial Meeting called off
No 18/2021
Vienna, Austria
05 Jul 2021
“The 18th OPEC and non-OPEC Ministerial Meeting has been called off,” OPEC Secretary General, HE Mohammad Sanusi Barkindo, said in a letter to Heads of Delegation of OPEC Member Countries and non-OPEC oil producing countries participating in the Declaration of Cooperation (DoC).
“Upon consultations with HRH Prince Abdul Aziz Bin Salman, Minister of Energy of the Kingdom of Saudi Arabia, and HE Alexander Valentinovich Novak, Deputy Prime Minister of the Russian Federation, Chairman and Co-chairman of the OPEC and non-OPEC Ministerial Meeting (ONOMM), the reconvened 18th OPEC and non-OPEC Ministerial Meeting has been called off,” the Secretary General stated.
The Secretary General noted: “The date of the next meeting will be decided in due course and we will inform you accordingly.”"
2021-07-02,"18th OPEC and non-OPEC Ministerial Meeting to reconvene on 5 July
No 17/2021
Vienna, Austria
02 Jul 2021
The 18th OPEC and non-OPEC Ministerial Meeting has been adjourned for today and will resume on Monday, 5 July 2021, at 15:00 (CEST) via videoconference."
2021-07-01,"31st JMMC, 18th OPEC and non-OPEC Ministerial Meetings to continue on Friday, 2 July
No 16/2021
Vienna, Austria
01 Jul 2021
The 31st Meeting of the Joint Ministerial Monitoring Committee (JMMC) and the 18th OPEC and non-OPEC Ministerial Meeting have adjourned and will continue tomorrow, Friday, 2 July 2021, at 15:00 and 16:30 (CEST), respectively, via videoconference."
2021-07-01,"Opening address to the 181st Meeting of the OPEC Conference
No 15/2021
Vienna, Austria
01 Jul 2021
Delivered by HE Dr Diamantino Pedro Azevedo, Angola’s Minister of Mineral Resources and Petroleum and President of the OPEC Conference, at the 181st Meeting of the OPEC Conference, 1 July 2021, via videoconference.
Your Royal Highness, Excellencies, distinguished delegates,
It gives me great pleasure to welcome you to the 181st Meeting of the OPEC Conference.
I would like to begin by congratulating our esteemed colleague, His Excellency Bijan Namdar Zanganeh, who will be taking a bow from his post as Minister of Petroleum for the Islamic Republic of Iran.  You have provided noble leadership, wise counsel and technical knowledge to the OPEC Conference for many years, and have been instrumental in our Organization’s many achievements.
OPEC has also benefited immensely from your leadership and vital contributions to the Declaration of Cooperation from the very beginning in 2016, and notably in April 2020 when the Participating Countries reacted decisively to the global collapse of oil demand resulting from the COVID-19 pandemic.  As the longest serving OPEC Minister, your wisdom and experience will be deeply missed.  It has been an immense pleasure to work with you, and I wish you and your family good fortune in the years to come.
Also at this time, I would like to welcome His Excellency Dr Mohammad Abdullatif Alfares, the Minister of Oil and Minister of Higher Education of Kuwait, and His Excellency Bruno Jean Richard Itoua, Congo's new Minister of Hydrocarbons, to their first meetings of the Conference.  We wish both of you great success and look forward to our work together.  On behalf of all of OPEC, I thank your predecessors for their contributions to the Conference and tireless work on behalf of the Organization.
Allow me to also use this opportunity to congratulate our esteemed colleague, His Excellency Timipre Sylva, Minister of State for Petroleum Resources, on the occasion of Nigeria’s upcoming 50th anniversary as an OPEC Member Country.
This golden milestone provides an opportunity to reflect upon Nigeria’s rise as a global energy supplier and partner; its pivotal support for oil market stability; and its contributions to expanding OPEC’s cooperation with other producing and consuming countries.
I wish you a Happy Golden Anniversary!
The celebration of another milestone is in the works – the 60th anniversary of OPEC, which was postponed last year due to the pandemic.  I thank His Excellency Ihsan Abdul Jabbar Ismaael and the Government of Iraq for all the planning that has gone into the commemoration on September 30th in the Organization’s birthplace – Baghdad.  By waiting an extra year, we are looking even younger and more fit!  The OPEC Secretariat is working closely with the Organizing Committee in Baghdad to midwife a befitting celebration.
Excellencies, distinguished delegates,
I am in the very fortunate position of opening this meeting of the OPEC Conference today at a time of rising hope and optimism.
In the seven months since the last OPEC Conference, the global economy has shifted from reverse to forward gear.  Global growth is now expected at 5.5% this year – from a contraction of 3.4% in 2020.
The outlook for worldwide oil demand is also moving in the right direction, and is now on course to grow by 6 mb/d in 2021, after its turbulent 9.3 mb/d decline last year.  The latest OPEC Monthly Oil Market Report projects a strong rebound of oil demand in the second half of the year, putting us within striking distance of pre-pandemic levels in the fourth quarter.
The story of this improving market outlook would not be complete without recognizing the leading role played by the Declaration of Cooperation.
Today begins the third month of the step-by-step upward production adjustments the Participating Countries agreed to undertake at the start of April.  The market continues to welcome these prudent and forward-looking steps to support sustainable stability, which in turn provide crucial backing for the economic recovery.  We will continue to remain proactive and vigilant in our actions on the back of our commitments and the success of the widely acclaimed Declaration of Cooperation.
I would also point out the important role the oil industry plays in ensuring the distribution of vaccines by supplying fuel needed for transportation.  Additionally, many of the medical supplies and protective clothing, as well as equipment essential in the fight against COVID-19, are produced using petroleum-based products.
Throughout our efforts to provide the world with a secure and stable oil supply, we have benefited from the leadership of HRH Prince Abdul Aziz Bin Salman, Saudi Arabia’s Minister of Energy, as Chair of both the OPEC and non-OPEC Ministerial Meetings and the Joint Ministerial Monitoring Committee.  Together with the Co-Chair, Alexander Novak, Deputy Prime Minister of the Russian Federation, they have guided us through one of the most difficult chapters in the oil industry’s history.  We look forward to the continued leadership of this ‘dream team’.
I would also like to underscore the importance of Saudi Arabia’s additional voluntary adjustments, including those in February, March and April, which have reinforced and reaffirmed our overall efforts to keep the market on the road to recovery.  Equally important, these generous contributions provided a window of opportunity for Participating Countries that needed extra time to make up for overproduction.
Looking beyond the two-year duration of our April 2020 production adjustment roadmap, it will be important to carry on with the Declaration of Cooperation and our diligent monitoring efforts to avoid any potential for a large supply overhang developing in 2022.
Allow me to also thank our tireless Secretary General and the staff of the OPEC Secretariat.  Mr Secretary General, you kept our ship on course as we navigated the stormy seas of 2020, and you continue to keep us headed in the direction of recovery.  The staff deserve special recognition for the consistent quality and timeliness of the research, analysis and other services you provide to Member Countries. 
Altogether, the herculean efforts of the past 15 months have contributed enormously to the Organization’s reputation as a strong and trusted partner.  Indeed, our contributions to sustainable oil market stability have been recognized repeatedly from the highest policymaking levels; from the executive suites of leading international oil companies; by consuming nations; and by numerous other energy stakeholders.
Excellencies, distinguished delegates,
We have experienced many false dawns during this pandemic, and though we meet today at a time of rising hope and optimism, this is no time to lower our guard.
The coronavirus continues to take a painful toll, with thousands of lives still being lost every day.  The presence of the new Delta variant and the recent surge in case numbers in India, along with other Asian countries, Latin America, the UK and most recently Russia and Africa, are a grim reminder of the uncertainties that still loom over us.
The pandemic is not the only concern flashing on our radar screen.  The record levels of fiscal and monetary stimulus that have helped shore up economies and drive the recovery come with heavy baggage – high debt levels and the potential for inflationary spikes that could in turn erode progress in the oil market.  It is important to remember that many countries do not have the financial firepower to stimulate growth.  They will continue to need international support so that the recovery is both durable and global.  
Looking further down the road, we face uncertainties arising from policy measures, investor activism, and litigation that could have a detrimental impact on the ability of our industry to invest in production, technology and human capacity.  These potentially exclusionary policy and investment actions – which are mostly being shaped by some developed countries – risk not only our oil and gas industries, but the ability of our Member Countries to achieve their social and economic development ambitions.
Another issue of utmost concern is energy poverty, which disproportionately affects many countries here in Africa.  Our continent needs continued access to our valuable indigenous energy resources, including oil, to keep pace with current needs while closing the gulf that separates the energy haves and have-nots.  The coronavirus is a vivid reminder that energy access must remain at the top of the agenda during the climate deliberations later this year in Glasgow.
In closing, I would like to turn back the pages of time to the 176th OPEC Conference and the 6th OPEC and non-OPEC Ministerial Meeting.
Two years ago, on July the 2nd 2019, we unanimously endorsed the Charter of Cooperation along with our Declaration of Cooperation partners.  In total, delegations from more than 30 oil-producing countries gathered at the OPEC Secretariat in Vienna for that historic event.  Today, the Charter stands out as an example of our Organization’s forward-looking leadership and the timeless importance of dialogue, cooperation and respect among all nations.
Under the umbrella of the Charter of Cooperation, the OPEC Secretariat is preparing the First Ministerial Roundtable on Energy, Climate and Sustainable Development for oil-producing countries, which is scheduled to take place on September 6th.  In preparation for the Ministerial Roundtable, OPEC is organizing the 4th Technical Workshop and the 19th Coordination Meeting on Climate Change, both of which are taking place next week.
Thank you, and I look forward to another successful meeting of the OPEC Conference."
2021-06-22,"OPEC to mark 50th anniversary of Nigeria’s Membership
No 14/2021
Vienna, Austria
22 Jun 2021
The OPEC Secretariat will mark the 50th anniversary of Nigeria joining the Organization on July 12, 2021. Nigeria was unanimously accepted as the then 11th Member of OPEC on July 12, 1971, it was a day of historic importance for both Nigeria and OPEC.
To commemorate this landmark date, the OPEC Secretariat has pieced together a special OPEC Bulletin. The edition will look at the history of Nigeria’s relationship with OPEC, including the many giants of Nigerian public service who have been responsible for the successful five-decade relationship that has evolved with OPEC, interview high-level figures, and examine and explore other topical issues surrounding Nigeria.
The focal interview is with the Nigerian President, Muhammadu Buhari, an OPEC veteran for over 40 years. President Buhari has been heavily involved in the Organization’s affairs and is currently the only serving Head of State in the world who made his career by being intensely involved in the OPEC family.
OPEC Secretary General, Mohammad Sanusi Barkindo, said: “OPEC has been fortunate to benefit from the talent, wisdom and extraordinary capabilities of generations of Nigerian public servants. They have been integral to what the Organization has achieved. Over the course of the five decades of OPEC Membership, Nigeria has been a constructive partner, seeking consensus, and always encouraging compromise. The special OPEC Bulletin highlights all of this.”
Barkindo added: “The unique relationship between OPEC and Nigeria has been mutually beneficial and laden with a plethora of successes. The Golden Anniversary of Nigeria’s Membership is indeed a cause for celebration. I very much hope that all Nigerians will celebrate with us, not only reflecting on the past, but also considering how we can build a more prosperous future together.”
The OPEC Secretary General will also deliver a keynote address to the 20th Nigeria Oil and Gas Conference that takes place from July 5-8, which will make reference to the positivity and longevity of the relationship between Nigeria and OPEC."
